"pxd"	"downloaded"	"parametered"	"exp_designed"	"retromined"	"converted"	"populated"	"reason"	"info"
"PXD005339"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD000603"	"y"	"y"	"y"	"y"	NA	NA	NA	"x"
"PXD000651"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD000652"	"y"	"y"	"y"	"c"	NA	NA	NA	NA
"PXD000653"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD000654"	"y"	"y"	"y"	"c"	NA	NA	NA	NA
"PXD000655"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD000656"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD000657"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD000944"	"y"	"y"	"y"	"y"	NA	NA	NA	"x"
"PXD001694"	"y"	"y"	"y"	"y"	NA	NA	NA	"x"
"PXD002117"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD002211"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD002212"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD002523"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD002614"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD003271"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD003406"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD003407"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD003408"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD003409"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD003410"	"y"	"y"	"y"	"r"	NA	NA	NA	NA
"PXD003411"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD003412"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD003413"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD003414"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD003415"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD003416"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD003417"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD003552"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD003965"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD004051"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD004280"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD004624"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD004625"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD004626"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD004682"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD004818"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD004987"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD005150"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD005390"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD005733"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD006471"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD006552"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD006833"	"y"	"y"	"y"	"y"	NA	NA	NA	"x"
"PXD009738"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD005292"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD005295"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD001324"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD001325"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD001326"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD001323"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD001327"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD001328"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD001311"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD000314"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD003790"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD005554"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD006114"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD000861"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD001123"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD005620"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD004249"	"y"	"y"	"x"	NA	NA	NA	NA	"itraq"
"PXD005274"	"y"	"y"	"x"	NA	NA	NA	NA	"itraq"
"PXD000768"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD000769"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD000445"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD001403"	"y"	"y"	"y"	"x"	NA	NA	NA	"itraq"
"PXD001402"	"y"	"y"	"y"	"x"	NA	NA	NA	"itraq"
"PXD008407"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD003968"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD003651"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD007592"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD002292"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD002171"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD000948"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD004131"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD000066"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD002104"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD008465"	"y"	"y"	"y"	"c"	NA	NA	NA	"reconvert files"
"PXD001833"	"y"	"y"	"y"	"c"	NA	NA	NA	"few files no spectra"
"PXD000119"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD008723"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD001435"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD006901"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD008553"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD006482"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD000335"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD000185"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD006421"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD006570"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD006571"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD006572"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD006576"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD006578"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD006589"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD006590"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD006591"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD000157"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD002471"	"y"	"x"	"y"	NA	NA	NA	NA	"mod"
"PXD000534"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD001464"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
"PXD003924"	"y"	NA	"y"	NA	NA	NA	NA	"params"
"PXD000252"	"y"	"y"	"y"	"y"	NA	NA	NA	NA
